DATE  OF OCCURRENCE, PRIMARY DESCRIPTION,LATITUDE,LONGITUDE, LOCATION DESCRIPTION,BLOCK
12/29/17 3:41,ARSON,41.64915663,-87.54351761,RESIDENCE,135XX S BUFFALO AVE
9/11/17 3:56,ARSON,41.93139005,-87.75725799,STREET,052XX W DIVERSEY AVE
10/4/17 6:05,ARSON,41.7822488,-87.69713691,STREET,061XX S RICHMOND ST
5/17/17 13:04,ARSON,41.78975632,-87.71151406,STREET,035XX W 57TH ST
3/19/17 21:20,ARSON,41.88761872,-87.73933284,STREET,045XX W KINZIE ST
9/29/17 16:26,ARSON,41.76082984,-87.56435022,APARTMENT,024XX E 74TH ST
10/3/17 5:00,ARSON,41.78331001,-87.77454232,VEHICLE NON-COMMERCIAL,061XX W 60TH ST
11/30/17 2:00,ARSON,41.90998816,-87.71715613,RESIDENCE,036XX W NORTH AVE
9/22/17 20:08,ARSON,41.73680997,-87.5430601,RESIDENCE,087XX S MACKINAW AVE
6/21/17 6:30,ARSON,41.8318812,-87.6655921,RESIDENCE,034XX S ASHLAND AVE
6/23/17 1:14,ARSON,41.77810551,-87.69823741,VEHICLE NON-COMMERCIAL,063XX S SACRAMENTO AVE
8/28/17 12:30,ARSON,41.91548059,-87.75321258,STREET,051XX W HOMER ST
4/23/17 0:15,ARSON,41.79985882,-87.67568021,VEHICLE NON-COMMERCIAL,020XX W JAMES ST
6/13/17 23:50,ARSON,41.89598287,-87.62818377,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,007XX N STATE ST
6/10/17 4:44,ARSON,41.79221937,-87.68399455,OTHER,056XX S WESTERN AVE
5/13/17 0:04,ARSON,41.97883919,-87.65788403,ALLEY,053XX N WINTHROP AVE
9/15/17 5:35,ARSON,41.76654579,-87.64566932,OTHER,070XX S GREEN ST
5/8/17 21:30,ARSON,41.8800978,-87.77397529,CONVENIENCE STORE,059XX W MADISON ST
6/1/17 15:10,ARSON,41.68570816,-87.70794068,RESIDENCE,114XX S ST LOUIS AVE
7/9/17 11:30,ARSON,41.79835928,-87.69148746,RESIDENCE-GARAGE,052XX S WASHTENAW AVE
6/21/17 23:05,ARSON,41.77317158,-87.67969954,RESIDENCE-GARAGE,066XX S BELL AVE
5/22/17 5:50,ARSON,41.86703942,-87.72826336,RESIDENCE PORCH/HALLWAY,041XX W GRENSHAW ST
7/6/17 4:50,ARSON,41.89886401,-87.68203005,VEHICLE NON-COMMERCIAL,009XX N LEAVITT ST
12/8/17 3:00,ARSON,41.83257109,-87.70468577,"SCHOOL, PRIVATE, BUILDING",033XX S KEDZIE AVE
11/4/17 4:12,ARSON,41.67975085,-87.63063362,VEHICLE NON-COMMERCIAL,003XX W 118TH ST
3/29/17 9:56,ARSON,41.9068531,-87.7522033,RESIDENCE,014XX N LAWLER AVE
4/11/17 8:30,ARSON,41.87513075,-87.73637151,APARTMENT,044XX W VAN BUREN ST
8/26/17 21:20,ARSON,41.74699318,-87.57468432,RESIDENCE,081XX S CHAPPEL AVE
9/29/17 15:46,ARSON,41.87692221,-87.73891416,VEHICLE NON-COMMERCIAL,045XX W JACKSON BLVD
3/30/17 4:11,ARSON,41.96596163,-87.65479165,NURSING HOME/RETIREMENT HOME,046XX N SHERIDAN RD
4/16/17 21:45,ARSON,41.79660827,-87.61805587,VEHICLE NON-COMMERCIAL,003XX E 54TH ST
8/19/17 23:41,ARSON,41.81492657,-87.68709245,RESIDENCE-GARAGE,043XX S CAMPBELL AVE
11/24/17 23:00,ARSON,41.76682926,-87.57265451,APARTMENT,070XX S MERRILL AVE
6/12/17 4:00,ARSON,41.89174642,-87.76655385,RESIDENCE,006XX N PARKSIDE AVE
11/30/17 19:40,ARSON,41.67177255,-87.64414609,STREET,122XX S PEORIA ST
12/6/17 16:10,ARSON,41.88423484,-87.73558903,VEHICLE NON-COMMERCIAL,002XX N KOSTNER AVE
6/4/17 3:38,ARSON,41.77693044,-87.66902939,RESIDENCE,064XX S WOOD ST
