NAME,ADDRESS,ZIP,GEODATE,LAT,LONG
SANTUARIO DEL DIVINO NINO JESUS DE CHICAGO,8708 SOUTH COLFAX AVENUE,60617,2009-04-10T00:00:00.000Z,41.7364788,-87.5614569
SAINT ADALBERTS CHURCH,1650 WEST 17TH STREET,60608,2009-04-02T00:00:00.000Z,41.8590333,-87.6678371
OUR LADY OF FATIMA CHURCH,2751 WEST 38TH PLACE,60632,2007-10-04T00:00:00.000Z,41.8234733,-87.6943331
SHRINE OF SAINT STEPHEN,1854 WEST 22ND PLACE,60608,2007-10-04T00:00:00.000Z,41.8516284,-87.6731345
SAINT ANGELA CATHOLIC CHURCH,5758 WEST POTOMAC AVENUE,60651,2007-10-04T00:00:00.000Z,41.9041436,-87.7698959
SAINT JOSEPH CHURCH,4821 SOUTH HERMITAGE AVENUE,60609,2007-10-09T00:00:00.000Z,41.8062951,-87.6682947
SAINT ADRIAN'S CHURCH,7000 SOUTH FAIRFIELD AVENUE,60629,2007-10-04T00:00:00.000Z,41.766199,-87.6910483
SAINT ANTHONY OF PADUA CHURCH,11533 SOUTH PRAIRIE AVENUE,60628,2007-10-03T00:00:00.000Z,41.684352,-87.6177328
FIVE HOLY MARTYRS CHURCH,4327 SOUTH RICHMOND STREET,60632,2007-10-03T00:00:00.000Z,41.8152417,-87.697826
SAINT GABRIEL CATHOLIC CHURCH,4511 SOUTH LOWE AVENUE,60609,2007-10-03T00:00:00.000Z,41.8122003,-87.6416313
SAINT GREGORY THE GREAT CHURCH,5545 NORTH PAULINA STREET,60640,2007-10-03T00:00:00.000Z,41.982759,-87.6718511
SAINT HYACINTH BASILICA CHURCH,3636 WEST WOLFRAM STREET,60618,2007-10-03T00:00:00.000Z,41.9332565,-87.7186027
IMMACULATE CONCEPTION CHURCH,2944 EAST 88TH STREET,60617,2007-10-01T00:00:00.000Z,41.735829,-87.5519451
SAINT ITA CHURCH,5500 NORTH BROADWAY STREET,60640,2007-10-03T00:00:00.000Z,41.9824207,-87.6608707
SAINT JOHN BOSCO CHURCH,2250 NORTH MCVICKER AVENUE,60639,2007-10-03T00:00:00.000Z,41.9222168,-87.7762785
SAINT MARGARET MARY CHURCH,2324 WEST CHASE AVENUE,60645,2007-10-03T00:00:00.000Z,42.0143515,-87.6886181
SAINT MARTIN DEPORRES CATHOLIC CHURCH,5112 WEST WASHINGTON BOULEVARD,60644,2007-10-03T00:00:00.000Z,41.8819864,-87.7536106
SAINT MARY MAGDALENE CHURCH,8426 SOUTH MARQUETTE AVENUE,60617,2007-10-03T00:00:00.000Z,41.7423611,-87.5592074
SAINT MONICA CHURCH,5136 NORTH NOTTINGHAM AVENUE,60656,2007-10-03T00:00:00.000Z,41.9751444,-87.8042431
NOTRE DAME DE CHICAGO CHURCH,1334 WEST FLOURNOY STREET,60607,2007-10-03T00:00:00.000Z,41.8734724,-87.6604991
OUR LADY OF GUADALUPE CATHOLIC CHURCH,3200 EAST 91ST STREET,60617,2007-10-04T00:00:00.000Z,41.7304011,-87.5466987
OUR LADY OF LOURDES CHURCH,4640 NORTH ASHLAND AVENUE,60640,2007-10-03T00:00:00.000Z,41.966584,-87.6698178
