selected,Name,Address,Zip,Lat,Long
polygon,YATES,1839 N RICHMOND ST,60647,41.91504,-87.70028
polygon,YOUNG ES,1434 N PARKSIDE AVE,60651,41.90679,-87.76714
polygon,CLARK HS,5101 W HARRISON ST,60644,41.87289,-87.75332
polygon,DOUGLASS HS,543 N WALLER AVE,60644,41.89037,-87.76767
polygon,CHICAGO ACADEMY ES,3400 N AUSTIN AVE,60634,41.94306,-87.77819
polygon,SALAZAR,160 W WENDELL ST,60610,41.90142,-87.63363
polygon,CATHER,2908 W WASHINGTON BLVD,60612,41.88295,-87.69919
polygon,DETT,2131 W MONROE ST,60612,41.87987,-87.68031
polygon,MORTON,431 N TROY ST,60612,41.88918,-87.70511
polygon,JENSEN,3030 W HARRISON ST,60612,41.87381,-87.70224
polygon,MCNAIR,4820 W WALTON ST,60651,41.89782,-87.74673
polygon,MELODY,3937 W WILCOX ST,60624,41.87880,-87.72466
polygon,PHOENIX MILITARY HS,145 S CAMPBELL AVE,60612,41.87912,-87.68696
polygon,LELAND,512 S LAVERGNE AVE,60644,41.87359,-87.74928
polygon,RUDOLPH,110 N PAULINA ST,60612,41.88357,-87.66948
polygon,DE DIEGO,1313 N CLAREMONT AVE,60622,41.90529,-87.68576
polygon,LOGANDALE,3212 W GEORGE ST,60618,41.93397,-87.70804
polygon,RABY HS,3545 W FULTON BLVD,60624,41.88621,-87.71542
polygon,CHICAGO ACADEMY HS,3400 N AUSTIN AVE,60634,41.94305,-87.77685
polygon,SABIN,2216 W HIRSCH ST,60622,41.90682,-87.68305
polygon,DEPRIEST,139 S PARKSIDE AVE,60644,41.87798,-87.76630
polygon,ORR HS,730 N PULASKI RD,60624,41.89455,-87.72666
polygon,DEVRY HS,3300 N CAMPBELL AVE,60618,41.94139,-87.69076
polygon,SUDER,2022 W WASHINGTON BLVD,60612,41.88321,-87.67764
polygon,FRAZIER PROSPECTIVE,4027 W GRENSHAW ST,60624,41.86698,-87.72724
polygon,AUSTIN CCA HS,231 N PINE AVE,60644,41.88599,-87.76192
polygon,LASALLE II,1148 N HONORE ST,60622,41.90291,-87.67370
polygon,ALCOTT HS,2957 N HOYNE AVE,60618,41.93579,-87.68056
polygon,OGDEN HS,1250 W ERIE ST,60642,41.89355,-87.65940
polygon,PRIETO,2231 N CENTRAL AVE,60639,41.92132,-87.76578
polygon,MOVING EVEREST,416 N. LARAMIE AVE,60644,41.88826,-87.75542
polygon,SKINNER NORTH,640 W SCOTT ST,60610,41.90511,-87.64484
polygon,CAMRAS,3000 N MANGO AVE,60634,41.93493,-87.77013
polygon,LORCA,3231 N SPRINGFIELD AVE,60618,41.94003,-87.72478
polygon,STEM,1522 W FILLMORE ST,60607,41.86858,-87.66497
polygon,CRANE MEDICAL HS,2245 W JACKSON BLVD,60612,41.87695,-87.68330
polygon,DISNEY II HS,3900 N LAWNDALE AVE,60618,41.95249,-87.72136
polygon,MAGIC JOHNSON - N LAWNDALE HS,3222 W ROOSEVELT RD,60624,41.86648,-87.70660
polygon,PATHWAYS - AVONDALE HS,3100 W BELMONT AVE,60618,41.93943,-87.70521
polygon,OMBUDSMAN - WEST HS,2401 W. CONGRESS PKWY,60612,41.87467,-87.68784
polygon,MAGIC JOHNSON - HUMBOLDT PK HS,2421 W. DIVISION,60622,41.90293,-87.68789
polygon,ALCOTT ES,2625 N ORCHARD ST,60614,41.92985,-87.64641
polygon,OGDEN ES,24 W WALTON ST,60610,41.89998,-87.62930
polygon,DISNEY II ES,3815 N KEDVALE AVE,60641,41.95046,-87.73068
polygon,ASPIRA - BUSINESS & FINANCE HS,2989 N. MILWAUKEE AVE,60618,41.93573,-87.71820
polygon,KIPP ONE,730 N PULASKI RD,60651,41.89381,-87.72661
polygon,YCCS - VIRTUAL HS,1900 W VAN BUREN ST,60612,41.87632,-87.67414
