selected,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,ZIP CODE,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LATITUDE,LONGITUDE
polygon,"FLACO'S TACOS, LLC","FLACO'S TACOS, LLC",725 S DEARBORN ST,60605,10/16/16,10/15/18,41.87285,-87.629
polygon,ROBERTA NOWAKOWSKI INC,SPORTSMANS CLUB,948 N WESTERN AVE 1ST,60622,11/16/16,11/15/18,41.89902,-87.68707
polygon,EC RESTAURANTS (CHICAGO - ADAMS) CORP.,ELEPHANT & CASTLE PUB & RESTAURANT,111 W ADAMS ST,60603,10/16/16,10/15/18,41.8793,-87.63117
polygon,"Iguana Cafe, Inc.",Iguana Cafe,517-519 N HALSTED ST,60642,11/16/16,11/15/18,41.89175,-87.64749
polygon,"RAMBUTAN, LLC",PUB ROYALE,2049 W DIVISION ST 1ST,60622,11/16/16,11/15/18,41.90305,-87.6792
polygon,"ROANOKE HOSPITALITY, LLC",ROANOKE,135 W MADISON ST 1 & 2,60602,9/27/16,10/15/17,41.88186,-87.6319
polygon,EC RESTAURANTS (CHICAGO - ADAMS) CORP.,ELEPHANT & CASTLE PUB & RESTAURANT,111 W ADAMS ST,60603,10/16/16,10/15/18,41.8793,-87.63117
polygon,ROBERTA NOWAKOWSKI INC,SPORTSMANS CLUB,948 N WESTERN AVE 1ST,60622,11/16/16,11/15/18,41.89902,-87.68707
polygon,"JEZ RESTAURANTS, INC.",TAQUERIA LOS COMALES #11,2148 N MILWAUKEE AVE 1,60647,10/16/16,10/15/18,41.92018,-87.69314
polygon,"6-M HOSPITALITY GROUP, LLC",2 TWENTY 2 TAVERN,222 S WABASH AVE 1,60604,9/28/16,10/15/18,41.87895,-87.62625
polygon,"6-M HOSPITALITY GROUP, LLC",2 TWENTY 2 TAVERN,222 S WABASH AVE 1,60604,9/28/16,10/15/18,41.87895,-87.62625
polygon,BLEND GROUP CHICAGO LLC,HUTCH AMERICAN CAFE,416 W ONTARIO ST  1,60654,9/28/16,10/15/18,41.89323,-87.63931
polygon,"MUG TO MUG, INCORPORATED",KIBBITZNEST BOOKS & BREWS,2212 N CLYBOURN AVE,60614,9/28/16,10/15/18,41.92187,-87.66496
polygon,SOHO HOUSE CHICAGO LLC,SOHO HOUSE CHICAGO,113-125 N GREEN ST BSMT - 6TH,60607,8/16/16,6/15/18,41.88356,-87.64843
polygon,SOHO HOUSE CHICAGO LLC,SOHO HOUSE CHICAGO,113-125 N GREEN ST BSMT - 6TH,60607,8/16/16,6/15/18,41.88356,-87.64843
polygon,"CONGRESS PLAZA HOTEL, LLC",THE CONGRESS HOTEL,520 S MICHIGAN AVE,60605,10/16/16,10/15/18,41.87526,-87.6244
polygon,"BL RESTAURANT OPERATIONS, LLC",BAR LOUIE,47 W POLK ST 1ST AND 2ND,60605,10/16/16,10/15/18,41.87217,-87.62958
polygon,SOHO HOUSE CHICAGO LLC,SOHO HOUSE CHICAGO,113-125 N GREEN ST BSMT - 6TH,60607,8/16/16,6/15/18,41.88356,-87.64843
polygon,"CONGRESS PLAZA HOTEL, LLC",THE CONGRESS HOTEL,520 S MICHIGAN AVE,60605,10/16/16,10/15/18,41.87526,-87.6244
polygon,SOHO HOUSE CHICAGO LLC,SOHO HOUSE CHICAGO,113-125 N GREEN ST BSMT - 6TH,60607,8/16/16,6/15/18,41.88356,-87.64843
polygon,"SEACHANGE HOSPITALITY, INC.",BRIDGET MCNEILL'S,420 W BELMONT AVE,60657,10/16/16,10/15/18,41.94021,-87.64045
polygon,"BIG CHICAGO, INC.",PRYSM NIGHTCLUB,1543 N KINGSBURY ST,60642,11/16/16,11/15/18,41.90935,-87.65267
polygon,"MASTRO'S RESTAURANTS, LLC",MASTRO'S STEAKHOUSE,520 N DEARBORN ST 1 & 2,60654,10/16/16,10/15/18,41.8916,-87.6298
polygon,"BL RESTAURANT OPERATIONS, LLC",BAR LOUIE,47 W POLK ST 1ST AND 2ND,60605,10/16/16,10/15/18,41.87217,-87.62958
