selected,DATE  OF OCCURRENCE,PRIMARY DESCRIPTION,LATITUDE,LONGITUDE,LOCATION DESCRIPTION,BLOCK
polygon,11/16/17 17:59,HOMICIDE,41.88221,-87.76706,PORCH,056XX W WASHINGTON BLVD
polygon,2/3/18 5:21,HOMICIDE,41.87504,-87.72548,STREET,004XX S PULASKI RD
polygon,11/19/17 14:28,HOMICIDE,41.90996,-87.76912,APARTMENT,016XX N MANGO AVE
polygon,11/20/17 17:28,HOMICIDE,41.88049,-87.72567,STREET,000XX S PULASKI RD
polygon,11/21/17 15:11,HOMICIDE,41.89404,-87.74689,ALLEY,048XX W SUPERIOR ST
polygon,9/22/17 0:24,HOMICIDE,41.87768,-87.74576,STREET,048XX W QUINCY ST
polygon,7/28/17 2:50,HOMICIDE,41.89835,-87.64197,STREET,005XX W IOWA ST
polygon,11/22/17 10:21,HOMICIDE,41.88678,-87.72936,AUTO,041XX W CARROLL AVE
polygon,11/26/17 10:14,HOMICIDE,41.88492,-87.75768,STREET,002XX N LOCKWOOD AVE
polygon,1/27/18 2:27,HOMICIDE,41.90298,-87.69112,AUTO,025XX W DIVISION ST
polygon,1/31/18 23:22,HOMICIDE,41.86956,-87.74347,STREET,047XX W ARTHINGTON ST
polygon,1/31/18 23:22,HOMICIDE,41.86956,-87.74347,STREET,047XX W ARTHINGTON ST
polygon,12/1/17 12:37,HOMICIDE,41.87721,-87.71595,AUTO,036XX W JACKSON BLVD
polygon,9/4/17 18:45,HOMICIDE,41.88177,-87.74874,STREET,049XX W WASHINGTON BLVD
polygon,12/2/17 14:02,HOMICIDE,41.92892,-87.76124,ALLEY,026XX N LONG AVE
polygon,12/6/17 12:44,HOMICIDE,41.88539,-87.70680,STREET,032XX W WALNUT ST
polygon,12/7/17 14:42,HOMICIDE,41.89970,-87.76081,STREET,010XX N LONG AVE
polygon,12/11/17 12:59,HOMICIDE,41.87574,-87.73041,VACANT LOT,003XX S KEELER AVE
polygon,12/13/17 21:02,HOMICIDE,41.89429,-87.71262,STREET,007XX N TRUMBULL AVE
polygon,12/13/17 1:57,HOMICIDE,41.89429,-87.71872,STREET,007XX N LAWNDALE AVE
polygon,2/2/18 22:25,HOMICIDE,41.87737,-87.70142,HOTEL,030XX W JACKSON BLVD
